"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Haveneiland Noordoost",58.1,58.1,58
"Haveneiland Noordwest",60.5,60.9,57
"Haveneiland Oost",54.6,54.3,60.6
"Haveneiland Zuidwest/Rieteiland West",46.5,46.3,49.1
"Helmersbuurt Oost",51.2,51,52.6
"Hemelrijk",62.4,62.7,58.5
"Hemonybuurt",54.9,54.6,57.6
"Hercules Seghersbuurt",60.1,59.7,62.8
"Het Funen",51.5,50.8,55.4
"Hiltonbuurt",41.3,41.4,40.7
"Hoge Dijk",57.3,58.5,NA
"Holendrecht Oost",55.9,59.2,50.2
"Holendrecht West",71.4,72.5,68.6
"Holysloot",41.3,38.9,47.1
"Hondecoeterbuurt",50.5,50.5,50.4
"Hoofdcentrum Zuidoost",81.7,81.7,NA
"Hoptille",74,74.3,68.2
"Houthavens Oost",53.1,54,50.6
"Houthavens West",47.2,47.3,46.8
"Huntum",48.6,51.7,43.2
"IJplein e.o.",65.7,66.3,63.3
"IJsbaanpad e.o.",44.9,43.5,50.3
"IJselbuurt Oost",53.9,52.8,60
"IJselbuurt West",56.2,55.2,61.3
"Jacob Geelbuurt",69,69.4,66.7
"Jacques Veltmanbuurt",63.6,63.9,62
"Jan Maijenbuurt",61.7,60.8,68.5
"Java-eiland",53.2,53.7,51.1
"Johan Jongkindbuurt",73.4,73.7,70.1
"Johannnes Vermeerbuurt",50.2,51.5,45.4
"John Franklinbuurt",58.9,57.8,66.8
"Julianapark",54.2,54.3,53.8
"K-buurt Midden",72.7,72.9,71.1
"K-buurt Zuidoost",62.7,62.9,58.5
"K-buurt Zuidwest",64.3,64.1,65.8
"KNSM-eiland",54.1,54.8,52
"Kadijken",55.2,55.2,55.2
"Kadoelen",46.4,45.7,49.6
"Kalverdriehoek",58.1,58.4,53.5
"Kantershof",63.8,63.9,63.7
"Kattenburg",56.5,56.3,56.9
"Kazernebuurt",57.4,57.1,58.4
"Kelbergen",65.5,67.1,59.7
"Kolenkitbuurt Noord",65.3,64.8,70.4
"Kolenkitbuurt Zuid",60.8,59.9,66.8
"Koningin Wilhelminaplein",60.4,60.9,55.1
"Kop Zeedijk",60.5,60.7,58.4
"Kop Zuidas",52.6,53.4,43.6
"Kortenaerkwartier",54.5,53.9,59.1
"Kortvoort",69.3,69.6,68.1
"Kromme Mijdrechtbuurt",56.5,55.4,61.5
"L-buurt",62.1,63.5,58.1
"Laan van Spartaan",60.9,60.6,65.7
"Landelijk gebied Driemond",36.6,35.3,44.8
"Landlust Noord",60.6,60.1,64.7
"Landlust Zuid",57.5,56.5,66.1
"Langestraat e.o.",51.6,53,47.2
"Lastage",54.4,54.4,54.1
"Legmeerpleinbuurt",53.1,52.4,57
"Leidsebuurt Noordoost",58.6,58.7,56.6
"Leidsebuurt Noordwest",62.2,62.3,59.9
"Leidsebuurt Zuidoost",56.4,57.3,52.1
"Leidsebuurt Zuidwest",60,60.7,54.6
"Leidsegracht Noord",54.1,55.9,45.8
"Leidsegracht Zuid",52.7,53.6,48.3
"Leliegracht e.o.",56,57.7,47.7
"Linnaeusparkbuurt",47.4,46.7,50.9
"Lizzy Ansinghbuurt",58.4,57.6,63.2
"Loenermark",64,64.6,62
"Lootsbuurt",61,60,67.7
"Louis Chrispijnbuurt",63.5,64.6,60.2
"Lucas/Andreasziekenhuis e.o.",68.5,68.6,NA
"Marathonbuurt Oost",59.4,59,60.7
"Marathonbuurt West",63.7,63.4,64.8
