"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",6.1,7,2.3
"Cornelis Troostbuurt",8.9,9.3,6.5
"Cremerbuurt Oost",7.6,7.9,5
"Cremerbuurt West",8.4,8.7,5.6
"Czaar Peterbuurt",10.1,10.5,6.4
"D-buurt",14.2,14.3,10.4
"Da Costabuurt Noord",8.3,8.8,5.4
"Da Costabuurt Zuid",9.3,9.7,5.6
"Dapperbuurt Noord",10.3,10.8,8
"Dapperbuurt Zuid",10.4,10.8,8.1
"De Aker Oost",8,8.6,4.8
"De Aker West",8,8.8,4.8
"De Bongerd",7.4,7.6,5.5
"De Eenhoorn",12.4,12.6,6.5
"De Heining",6.4,7.4,NA
"De Kleine Wereld",13,15.1,6.7
"De Klenckebuurt",7.9,10.2,2.9
"De Omval",7.4,8.8,2.5
"De Punt",11.5,12.4,6.9
"De Wester Quartier",10.8,11.2,8.3
"De Wetbuurt",7.2,8,4.9
"De Wittenbuurt Noord",9.2,9.7,6.1
"De Wittenbuurt Zuid",9.7,11.1,5.8
"Delflandpleinbuurt Oost",14.4,15,7.3
"Delflandpleinbuurt West",12,12.4,7.8
"Den Texbuurt",7.3,8.2,3.5
"Diamantbuurt",10.7,11.5,7.8
"Diepenbrockbuurt",4.5,5.3,1.9
"Don Bosco",6.9,7.3,5
"Dorp Driemond",5.6,6.4,3.1
"Dorp Sloten",5.3,6.2,2.5
"Drieburg",NA,NA,NA
"Driehoekbuurt",8.8,9.7,4.8
"Duivelseiland",8.6,9,4.9
"Durgerdam",3.7,4.2,2.1
"E-buurt",10.2,10.3,7.4
"Ecowijk",7.4,8,4.9
"Eendrachtspark",11.8,12.7,3.4
"Elandsgrachtbuurt",8.2,9.1,4.9
"Elzenhagen Noord",8,8.3,4.9
"Elzenhagen Zuid",15.9,16.3,8.6
"Emanuel van Meterenbuurt",9.9,11,5.3
"Entrepot-Noordwest",9.6,10.5,5.9
"Erasmusparkbuurt Oost",9.4,9.6,7.5
"Erasmusparkbuurt West",9,9.1,7.7
"F-buurt",12.3,12.7,7.3
"Fannius Scholtenbuurt",10.2,10.5,7.4
"Felix Meritisbuurt",7.5,8.5,3.1
"Filips van Almondekwartier",9,9.2,7.7
"Flevopark",4.6,4.6,NA
"Frankendael",4,4.1,NA
"Frans Halsbuurt",9.2,9.7,4.9
"Frederik Hendrikbuurt Noord",8.9,9.4,6.1
"Frederik Hendrikbuurt Zuidoost",10.3,10.7,6.4
"Frederik Hendrikbuurt Zuidwest",7.8,8.6,5.1
"Frederikspleinbuurt",7.4,8.4,2.8
"G-buurt Noord",16.3,17.1,10.2
"G-buurt Oost",7.6,9.8,3.9
"G-buurt West",11.5,12.4,6.8
"Gaasperdam Noord",12.6,13.7,5.9
"Gaasperdam Zuid",12.2,13.6,7.2
"Gaasperpark",6.7,6.5,NA
"Gaasperplas",4.8,5.5,NA
"Gein Noordoost",5.8,7,2.7
"Gein Noordwest",12.9,13.9,8.6
"Gein Zuidoost",9.7,11.1,5.8
"Gein Zuidwest",14,14.9,8.2
"Gelderlandpleinbuurt",9.1,10.9,4
"Gerard Doubuurt",10.2,10.7,6.8
"Geuzenhofbuurt",8.1,8.4,4.5
"Gibraltarbuurt",11.6,11.9,8.7
"Gooise Kant",9.7,9.7,NA
"Gouden Bocht",9.3,10.8,2.3
"Groenmarktkadebuurt",8.8,9.2,4.4
"Grunder/Koningshoef",11.1,11.6,7.1
"Haarlemmerbuurt Oost",7.8,8.6,4.4
"Haarlemmerbuurt West",8.5,9.3,5
"Hakfort/Huigenbos",15.9,16.5,11
"Harmoniehofbuurt",5.1,7.3,3.3
"Haveneiland Noord",10.9,11.4,6.8
"Haveneiland Noordoost",9,9.2,5.7
"Haveneiland Noordwest",9.7,10.3,5.1
"Haveneiland Oost",8.3,8.4,6.8
"Haveneiland Zuidwest/Rieteiland West",5.3,5.6,2.7
"Helmersbuurt Oost",7.2,7.7,3.6
"Hemelrijk",10.5,11,4.2
"Hemonybuurt",8.4,8.8,4.4
"Hercules Seghersbuurt",10.4,10.9,6.5
"Het Funen",7,7.2,5.5
"Hiltonbuurt",5,5.6,2.1
"Hoge Dijk",9.7,10.5,NA
"Holendrecht Oost",7.3,9.4,3.4
"Holendrecht West",13.3,15,8.9
"Holysloot",3,3.4,2.1
"Hondecoeterbuurt",6.5,7.5,3
"Hoofdcentrum Zuidoost",17.7,17.7,NA
"Hoptille",15.6,16,9.9
"Houthavens Oost",6.3,7.5,2.7
"Houthavens West",6.2,6.6,3
"Huntum",4.8,6.4,2.2
"IJplein e.o.",11.3,12.5,6.8
"IJsbaanpad e.o.",4.2,4.7,2.3
"IJselbuurt Oost",8.2,8.6,5.9
"IJselbuurt West",8.8,9.4,5.9
"Jacob Geelbuurt",14.1,14.8,8.9
"Jacques Veltmanbuurt",11.5,12.3,6.5
"Jan Maijenbuurt",11.7,12,9.8
"Java-eiland",6.8,7.6,3.5
"Johan Jongkindbuurt",15.9,16.4,10.2
"Johannnes Vermeerbuurt",6.6,7.8,2.4
