"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Orteliusbuurt Zuid",37.4,34.8,57
"Osdorp Midden Noord",57.8,56.3,64
"Osdorp Midden Zuid",54.2,52.5,63
"Osdorp Zuidoost",47.1,43.1,58.3
"Osdorper Binnenpolder",48,42,NA
"Osdorper Bovenpolder",50.4,48.3,55.8
"Osdorpplein e.o.",47.9,45.7,62
"Oude Kerk e.o.",32.3,29.7,54
"Overamstel",40.8,39.1,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",36.5,35.2,46.6
"Overtoomse Veld Noord",49.6,47,68.3
"Overtoomse Veld Zuid",41.9,39.6,63.1
"P.C. Hooftbuurt",35.5,33.3,43.9
"Papaverweg e.o.",39.3,38.2,52.5
"Paramariboplein e.o.",36.1,33.8,57
"Park Haagseweg",43.1,41.3,48.4
"Park de Meer",44.8,42.6,51.7
"Parooldriehoek",27.8,27.2,NA
"Passeerdersgrachtbuurt",36.5,34.2,44.9
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",38.6,36.2,57.6
"Plan van Gool",49.6,48.3,55.8
"Planciusbuurt Noord",36.5,35.2,46.1
"Planciusbuurt Zuid",43.1,40.2,54.9
"Postjeskade e.o.",36.8,34,56.6
"Prinses Irenebuurt",35.2,33.3,39.9
"RAI",NA,NA,NA
"RI Oost terrein",41.4,40.5,55.3
"Ransdorp",42.4,40,47.3
"Rapenburg",33.3,30.9,49.4
"Rechte H-buurt",54.6,53.2,63
"Reguliersbuurt",29.6,29.4,NA
"Reigersbos Midden",55.2,53.3,60.8
"Reigersbos Noord",57,55.8,62.6
"Reigersbos Zuid",54.7,52.8,59.6
"Rembrandtpark Noord",29.4,27.6,52.1
"Rembrandtpark Zuid",35.1,33.3,51.8
"Rembrandtpleinbuurt",33.3,32.3,48.1
"Riekerhaven",35.2,35.2,NA
"Riekerpolder",39.5,39.2,NA
"Rieteiland Oost",37.2,37,NA
"Rietlanden",39.3,37.2,51
"Rijnbuurt Midden",34.3,30.8,53.3
"Rijnbuurt Oost",33.9,30.8,52.3
"Rijnbuurt West",47.2,44.3,55.5
"Robert Scottbuurt Oost",40,37.3,61.7
"Robert Scottbuurt West",41.9,38.8,61.3
"Rode Kruisbuurt",39.9,35.9,45.8
"Sarphatiparkbuurt",32.9,30.6,51.9
"Sarphatistrook",33.4,31.2,48
"Scheepvaarthuisbuurt",32.4,30.2,43.7
"Scheldebuurt Midden",33.5,29.6,51.3
"Scheldebuurt Oost",32.7,29.5,50.9
"Scheldebuurt West",34.8,31.3,50.5
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",41.6,39,49.4
"Schellingwoude West",44.3,41.5,52
"Schinkelbuurt Noord",34.9,33,51.3
"Schinkelbuurt Zuid",41,37.5,56.9
"Schipluidenbuurt",26.7,26.5,46.8
"Science Park Noord",27.4,26.9,47.8
"Science Park Zuid",37.5,37.1,NA
"Sloterdijk II",47.4,47.4,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",43.6,42.9,NA
"Slotermeer Zuid",53.2,51.2,62.8
"Sloterpark",39,39,NA
"Sloterweg e.o.",43.8,42.7,46.9
"Spaarndammerbuurt Midden",40.6,39,57
"Spaarndammerbuurt Noordoost",43.8,40.7,58.3
"Spaarndammerbuurt Noordwest",46.3,44,61.7
"Spaarndammerbuurt Zuidoost",41,37.8,55.4
"Spaarndammerbuurt Zuidwest",39.8,35.8,58
"Spiegelbuurt",33.1,31.5,42.4
"Sporenburg",39.4,38.1,50.7
"Sportpark Middenmeer Noord",39,38.9,NA
"Sportpark Middenmeer Zuid",45.7,39,51.3
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",30.7,29.5,43.4
"Spuistraat Zuid",32.4,30.5,47.3
"Staalmanbuurt",52,50.1,63.8
"Staatsliedenbuurt Noordoost",45.8,41.1,56.8
