"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Spiegelbuurt",15.7,16.5,10.9
"Sporenburg",14.3,14.5,12.5
"Sportpark Middenmeer Noord",35.4,35.4,NA
"Sportpark Middenmeer Zuid",14.8,13.2,16.1
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",19.5,20.3,11.6
"Spuistraat Zuid",19.4,20,15
"Staalmanbuurt",29.4,29.5,29
"Staatsliedenbuurt Noordoost",23.8,24.3,22.9
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",18.5,18.7,14.3
"Steigereiland Zuid",17.7,17.5,19.9
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",16.8,17,15.8
"Swammerdambuurt",16.1,16.2,14.9
"Teleport",23.3,23.3,NA
"Terrasdorp",23.5,24.1,21.5
"Transvaalbuurt Oost",24.8,24.2,28.5
"Transvaalbuurt West",25.6,24.6,30.4
"Trompbuurt",18.9,18.7,21.3
"Tuindorp Amstelstation",30.7,33.2,25.2
"Tuindorp Frankendael",22.4,23.2,19.7
"Tuindorp Nieuwendam Oost",22.1,22.6,20.6
"Tuindorp Nieuwendam West",21,22,19.3
"Tuindorp Oostzaan Oost",21.9,22.1,21.3
"Tuindorp Oostzaan West",21.1,21.4,20.5
"Twiske Oost",18.4,18.6,17.9
"Twiske West",16.2,16.7,14.5
"Uilenburg",18.8,19.6,16
"Utrechtsebuurt Zuid",16.1,16.9,13.2
"VU-kwartier",16.8,17.3,NA
"Valeriusbuurt Oost",12.6,13.2,9.7
"Valeriusbuurt West",15.2,15.5,13.9
"Valkenburg",17.7,18.5,15.5
"Van Brakelkwartier",27.9,27.2,32.2
"Van Loonbuurt",15,15.6,12.6
"Van Tuyllbuurt",17.4,17.2,18.6
"Van der Helstpleinbuurt",19.4,19.4,19.4
"Van der Kunbuurt",30,30,30.1
"Van der Pekbuurt",28.3,28.6,26.1
"Veluwebuurt",20.3,20.6,19.1
"Venserpolder Oost",25.6,25.4,27.2
"Venserpolder West",26.7,26.6,27.3
"Vervoerscentrum",NA,NA,NA
"Vivaldi",20.3,20.6,9.3
"Vliegenbos",12.5,12.9,9.5
"Vogelbuurt Noord",24.3,23.8,26.7
"Vogelbuurt Zuid",26.8,27.1,25.2
"Vogeltjeswei",22.7,21.9,25.4
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",17.5,18.2,15
"Vondelparkbuurt Oost",16.3,17.7,9.8
"Vondelparkbuurt West",16.7,16.8,16.1
"WG-terrein",19.7,20.5,16.7
"Walvisbuurt",17.6,17.9,16.1
"Waterloopleinbuurt",18.5,19.7,14.7
"Weesperbuurt",18.2,18.9,15.4
"Weespertrekvaart",15.7,15.9,7.8
"Weesperzijde Midden/Zuid",17.3,17.4,16.8
"Werengouw Midden",26.1,26.7,23.4
"Werengouw Zuid",26.2,27.9,18.6
"Westelijke eilanden",17.9,18.8,14.8
"Westerdokseiland",17.2,18.1,14.4
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",20.8,20.6,22.5
"Westhaven Noord",16.4,18.2,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",18.2,18,19.9
"Weteringbuurt",16.8,17.6,12.5
"Wielingenbuurt",15.2,15.5,13.8
