"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Haarlemmerbuurt West",30.3,32.5,20.8
"Hakfort/Huigenbos",41.3,42.4,31.3
"Harmoniehofbuurt",21.7,28.2,16.3
"Haveneiland Noord",34.3,35.7,22.8
"Haveneiland Noordoost",29.7,30.3,22.3
"Haveneiland Noordwest",30.9,32.1,20.9
"Haveneiland Oost",25.7,26,21.8
"Haveneiland Zuidwest/Rieteiland West",21.4,22.1,14.3
"Helmersbuurt Oost",28.4,29.7,18.7
"Hemelrijk",33.4,34.6,16.8
"Hemonybuurt",29,30,19.8
"Hercules Seghersbuurt",34.3,35.5,25.8
"Het Funen",24.6,25.7,18.1
"Hiltonbuurt",18.9,18.6,20.5
"Hoge Dijk",32.4,34.6,NA
"Holendrecht Oost",24.6,29.4,16.2
"Holendrecht West",38.2,41.4,29.8
"Holysloot",14.6,15.8,11.5
"Hondecoeterbuurt",23.4,25.8,15.1
"Hoofdcentrum Zuidoost",38.3,38.3,NA
"Hoptille",41.2,41.9,30.7
"Houthavens Oost",23.5,26.7,13.9
"Houthavens West",21.8,22.8,13.6
"Huntum",19.6,24.2,11.7
"IJplein e.o.",35.5,37.8,26.5
"IJsbaanpad e.o.",18.7,20.3,12.2
"IJselbuurt Oost",30.7,31.8,25.2
"IJselbuurt West",31.6,33.1,24.3
"Jacob Geelbuurt",41,42.1,33
"Jacques Veltmanbuurt",35.2,36.6,26.8
"Jan Maijenbuurt",38.4,38.7,36.1
"Java-eiland",24.2,26.2,15.3
"Johan Jongkindbuurt",44,44.6,37.1
"Johannnes Vermeerbuurt",23.1,25.9,12.8
"John Franklinbuurt",35.6,36,32.4
"Julianapark",27.5,29.2,17.9
"K-buurt Midden",40.8,41.9,31.2
"K-buurt Zuidoost",31.4,31.7,25.6
"K-buurt Zuidwest",32.1,32.5,29.5
"KNSM-eiland",23.9,26.6,15.7
"Kadijken",26.7,29.5,18.9
"Kadoelen",20.8,22.2,14.6
"Kalverdriehoek",33.5,34.6,17
"Kantershof",29.7,31.7,24.8
"Kattenburg",30.6,33.5,22.7
"Kazernebuurt",30.5,33.8,22.4
"Kelbergen",33.4,35.6,25
"Kolenkitbuurt Noord",40.2,40.1,41
"Kolenkitbuurt Zuid",37.3,37.2,38.1
"Koningin Wilhelminaplein",29.9,31,15.8
"Kop Zeedijk",31.8,33.1,18.7
"Kop Zuidas",26,27.3,12.1
"Kortenaerkwartier",31.8,32.6,26
"Kortvoort",36.6,38.5,30.5
"Kromme Mijdrechtbuurt",32.3,33.9,24.6
"L-buurt",28.5,31.1,20.4
"Laan van Spartaan",35.3,35.3,34.4
"Landelijk gebied Driemond",13.9,14.4,10.3
"Landlust Noord",36.9,37.2,34.5
"Landlust Zuid",34.6,34.8,33.1
"Langestraat e.o.",24.5,28.2,12.8
"Lastage",27.7,29.7,18.2
"Legmeerpleinbuurt",27.8,29,20.5
"Leidsebuurt Noordoost",32.9,33.9,17
"Leidsebuurt Noordwest",33.6,34.4,20.1
"Leidsebuurt Zuidoost",29,31.9,15
"Leidsebuurt Zuidwest",34.1,36,20.1
"Leidsegracht Noord",28.1,31.6,11.9
"Leidsegracht Zuid",27.5,30.2,13.5
"Leliegracht e.o.",28.1,31.2,12.3
"Linnaeusparkbuurt",23.8,25.5,16.2
"Lizzy Ansinghbuurt",32,33,25.9
"Loenermark",32.1,34.6,23
"Lootsbuurt",34.7,35.4,29.8
