"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Spaarndammerbuurt Zuidwest",33.2,27.9,57
"Spiegelbuurt",27.1,24.1,45
"Sporenburg",29.2,27.2,46.8
"Sportpark Middenmeer Noord",24.3,24.2,NA
"Sportpark Middenmeer Zuid",38.9,27.9,48.2
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",26.2,24.3,46.2
"Spuistraat Zuid",28.3,25.6,49.9
"Staalmanbuurt",35.5,32.1,56.5
"Staatsliedenbuurt Noordoost",40.4,33.7,55.9
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",27.9,26.7,52.4
"Steigereiland Zuid",28.8,26.8,52.4
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",29.3,25.7,49.5
"Swammerdambuurt",26.9,24.5,47.6
"Teleport",23.4,23.2,NA
"Terrasdorp",39,34.2,54.1
"Transvaalbuurt Oost",34.1,30.5,57.1
"Transvaalbuurt West",35.9,31.4,58.7
"Trompbuurt",28.7,25.5,53.7
"Tuindorp Amstelstation",47.1,42.5,57.3
"Tuindorp Frankendael",37.7,33.4,52.5
"Tuindorp Nieuwendam Oost",40.9,36,54
"Tuindorp Nieuwendam West",41.1,34.4,53.4
"Tuindorp Oostzaan Oost",39.1,34,53.9
"Tuindorp Oostzaan West",40.7,33.6,52.9
"Twiske Oost",35.1,29.3,49.8
"Twiske West",31.9,28.3,46.5
"Uilenburg",32.5,28.3,50
"Utrechtsebuurt Zuid",31.4,27,48.5
"VU-kwartier",25.1,23.8,NA
"Valeriusbuurt Oost",27.7,23.8,44.5
"Valeriusbuurt West",29.2,24.8,48
"Valkenburg",32.9,26.6,50.1
"Van Brakelkwartier",36.4,32.7,57.8
"Van Loonbuurt",28.7,24.2,46.3
"Van Tuyllbuurt",30.2,26.3,52.5
"Van der Helstpleinbuurt",30.4,27.7,52.5
"Van der Kunbuurt",36.9,32.8,59.2
"Van der Pekbuurt",38.8,36,57.7
"Veluwebuurt",35.9,31.2,53.2
"Venserpolder Oost",36.1,32.8,58.2
"Venserpolder West",37.8,33.8,58.1
"Vervoerscentrum",NA,NA,NA
"Vivaldi",23.7,23.2,44.9
"Vliegenbos",27.3,24.9,44.7
"Vogelbuurt Noord",36.7,33.1,56.8
"Vogelbuurt Zuid",37.3,33.6,57
"Vogeltjeswei",36.7,30.3,57
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",31.5,26.9,49.4
"Vondelparkbuurt Oost",28.3,24.8,44.5
"Vondelparkbuurt West",29.3,24.9,51.3
"WG-terrein",34.5,29.6,51.2
"Walvisbuurt",32.2,28.6,48.7
"Waterloopleinbuurt",33.4,28.2,50.6
"Weesperbuurt",31.3,26.5,50.3
"Weespertrekvaart",23.1,22.4,42.4
"Weesperzijde Midden/Zuid",29.2,25.7,50.5
"Werengouw Midden",36.6,32.9,54.5
"Werengouw Zuid",36.6,33.7,49.3
"Westelijke eilanden",33.8,29.2,49.1
"Westerdokseiland",33.7,28.2,49
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",30.7,28.9,55.9
"Westhaven Noord",26.2,26.8,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",29.6,26.4,52.2
"Weteringbuurt",28.5,25.4,47.2
