"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Leidsebuurt Noordwest",75.6,76.4,60.6
"Leidsebuurt Zuidoost",72.3,73.7,65.8
"Leidsebuurt Zuidwest",71.1,72.4,61
"Leidsegracht Noord",76.6,77.5,72.5
"Leidsegracht Zuid",76.6,77.9,69.8
"Leliegracht e.o.",76.2,76.9,72.2
"Linnaeusparkbuurt",76.3,79.2,63.4
"Lizzy Ansinghbuurt",67.3,70.5,48.9
"Loenermark",64.8,69.1,49
"Lootsbuurt",64.6,67.6,44.5
"Louis Chrispijnbuurt",58.9,62.7,47.6
"Lucas/Andreasziekenhuis e.o.",75.4,75.4,NA
"Marathonbuurt Oost",62,65.7,49.9
"Marathonbuurt West",58.3,61.9,45
"Marcanti",66.1,71.4,44.5
"Marine-Etablissement",76.1,78.2,70.3
"Marjoleinterrein",68.7,69.4,60.4
"Markengouw Midden",60.3,61.8,47.4
"Markengouw Zuid",61.9,63.1,52.1
"Markthallen",70.7,77.2,NA
"Marnixbuurt Midden",77.1,78.7,59.4
"Marnixbuurt Noord",65.2,69.2,48.9
"Marnixbuurt Zuid",67.2,70.7,58
"Medisch Centrum Slotervaart",65.5,65.8,NA
"Meer en Oever",65.4,68.6,54.1
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",62.7,65.7,52.9
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",75.1,78.9,59.8
"Middenmeer Zuid",75.3,78.4,59.1
"Minervabuurt Midden",78.3,81,69.6
"Minervabuurt Noord",78.7,81.3,70.1
"Minervabuurt Zuid",77,80,67.8
"Molenwijk",55.3,58.3,45.9
"Museumplein",NA,NA,NA
"NDSM terrein",75.2,75.2,71.3
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",74.6,75.2,68
"Nieuw Sloten Noordoost",66.7,70.9,55.9
"Nieuw Sloten Noordwest",67.1,70.6,55.3
"Nieuw Sloten Zuidoost",68.8,70.6,58.3
"Nieuw Sloten Zuidwest",75.9,77.3,69.3
"Nieuwe Diep/Diemerpark",74.2,76.1,67.3
"Nieuwe Kerk e.o.",73.7,74.3,64.7
"Nieuwe Meer",67,68,59.3
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",83,84.8,74.2
"Nieuwendammerdijk West",81.1,84,71
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",71.5,72.2,56.9
"Nieuwmarkt",64.6,68.8,55.4
"Nintemanterrein",81.9,85.1,75.9
"Noorder IJplas",73.8,75.7,70.9
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",66.1,65.2,NA
"Noordoever Sloterplas",67.5,70.2,52.1
"Noordoostkwadrant Indische buurt",57.7,62.6,38.8
"Noordwestkwadrant Indische buurt Noord",67.8,70.4,43.2
"Noordwestkwadrant Indische buurt Zuid",65.9,69.4,37.5
"Olympisch Stadion e.o.",69.8,74.1,52.8
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",72.8,74.2,59.8
"Oostenburg",70.5,72.7,53.6
"Oosterdokseiland",73.4,74.2,68.1
"Oosterpark",63.3,64.4,53.9
"Oosterparkbuurt Noordwest",66.1,69.5,45.8
"Oosterparkbuurt Zuidoost",68.6,71.8,50.9
"Oosterparkbuurt Zuidwest",60.9,64.4,42.9
"Oostoever Sloterplas",69.4,75.9,54.3
"Oostpoort",68.4,72,55.8
"Oostzanerdijk",74.9,77.8,63.6
"Orteliusbuurt Midden",67.7,70.4,45.1
"Orteliusbuurt Noord",64.6,68.1,44.1
"Orteliusbuurt Zuid",69.8,72.8,46.8
"Osdorp Midden Noord",51.6,55.1,37.4
"Osdorp Midden Zuid",56.5,59.6,40
"Osdorp Zuidoost",63.3,68,49.9
"Osdorper Binnenpolder",73.4,78.9,NA
"Osdorper Bovenpolder",71.7,73.3,67.4
"Osdorpplein e.o.",63.8,66.7,45.8
"Oude Kerk e.o.",70.9,72.8,55.2
"Overamstel",83.2,84.1,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",76.4,76.9,72.5
"Overtoomse Veld Noord",59.1,63,30.3
"Overtoomse Veld Zuid",66.2,68.9,39.9
"P.C. Hooftbuurt",75.6,77.5,67.7
"Papaverweg e.o.",79.5,80,73.5
"Paramariboplein e.o.",72.6,75.1,50.4
"Park Haagseweg",77.5,79.5,72
"Park de Meer",71.3,73.8,63.5
"Parooldriehoek",67.7,68.3,NA
"Passeerdersgrachtbuurt",71,73.1,63.2
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",66,68.4,47.1
"Plan van Gool",59.6,61.3,51.5
"Planciusbuurt Noord",67.9,69.3,57.5
"Planciusbuurt Zuid",59,61.9,47.5
"Postjeskade e.o.",71.3,74.3,50.5
"Prinses Irenebuurt",77.5,81.4,68.3
"RAI",NA,NA,NA
"RI Oost terrein",73.2,74,59.7
"Ransdorp",79.1,82.8,71.6
"Rapenburg",72.7,74.4,61.3
"Rechte H-buurt",53.3,55.9,38.4
"Reguliersbuurt",74,74.3,NA
"Reigersbos Midden",57.9,61,48.3
"Reigersbos Noord",52.1,54.9,38.9
"Reigersbos Zuid",62.3,64.7,56.1
"Rembrandtpark Noord",73.8,75.1,57
"Rembrandtpark Zuid",76,77.9,59.1
"Rembrandtpleinbuurt",74.5,75.3,62.5
"Riekerhaven",66.4,66.4,NA
"Riekerpolder",78,78.1,NA
"Rieteiland Oost",86,85.9,NA
"Rietlanden",71.7,74.2,57.9
"Rijnbuurt Midden",72.3,75.9,52.5
"Rijnbuurt Oost",72.3,75.6,52.5
"Rijnbuurt West",55.3,58.5,46.3
"Robert Scottbuurt Oost",67.3,70.4,41.7
"Robert Scottbuurt West",63.5,67.3,39.8
"Rode Kruisbuurt",76.7,80.5,71.1
"Sarphatiparkbuurt",71.6,74,52
"Sarphatistrook",72.9,74.9,59.3
"Scheepvaarthuisbuurt",76.2,77.9,67.4
"Scheldebuurt Midden",75.2,79.1,56.9
"Scheldebuurt Oost",75.1,77.8,59.4
"Scheldebuurt West",73.3,77,56.6
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",79.2,82.5,69.2
"Schellingwoude West",78.9,81.4,72.1
"Schinkelbuurt Noord",72.7,74.6,56.1
"Schinkelbuurt Zuid",65.4,68.5,51.1
"Schipluidenbuurt",75.1,75.3,64.7
"Science Park Noord",74.5,74.5,74
"Science Park Zuid",65.7,65.9,NA
"Sloterdijk II",73.7,73.7,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",64.3,64.4,NA
"Slotermeer Zuid",55.1,57.7,42.2
"Sloterpark",72.9,72.9,NA
"Sloterweg e.o.",76.1,78.3,69.7
"Spaarndammerbuurt Midden",66.1,68.3,43.8
"Spaarndammerbuurt Noordoost",61.7,64.6,48.1
"Spaarndammerbuurt Noordwest",63.2,66.1,43.8
"Spaarndammerbuurt Zuidoost",65.4,68.5,51.3
"Spaarndammerbuurt Zuidwest",66.4,71.6,42.9
"Spiegelbuurt",77.1,78.3,69.9
"Sporenburg",77.5,78.5,68.9
"Sportpark Middenmeer Noord",62.6,62.6,NA
"Sportpark Middenmeer Zuid",68.3,78.4,59.6
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",74.6,75.3,68.1
"Spuistraat Zuid",72.7,74.4,59.5
"Staalmanbuurt",59,62,40.1
"Staatsliedenbuurt Noordoost",59.1,64.8,46.1
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",72.2,73,57
"Steigereiland Zuid",72.7,74,56.5
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",74.5,77.3,59.2
"Swammerdambuurt",76.6,78.2,62
"Teleport",70,70.1,NA
"Terrasdorp",59.3,63,47.7
"Transvaalbuurt Oost",64,67.5,42.1
"Transvaalbuurt West",61.9,66.5,38.8
"Trompbuurt",72.5,75.5,48.9
"Tuindorp Amstelstation",48.8,51.5,42.9
"Tuindorp Frankendael",63.4,66.8,51.9
"Tuindorp Nieuwendam Oost",60.1,64.4,48.6
"Tuindorp Nieuwendam West",59.4,65.6,47.9
"Tuindorp Oostzaan Oost",60.8,65,48.5
"Tuindorp Oostzaan West",60.7,66.2,51.2
"Twiske Oost",67.7,71.5,58.2
"Twiske West",71.6,73.6,63.5
"Uilenburg",70.6,73.1,60.7
"Utrechtsebuurt Zuid",73.9,76.6,63.3
"VU-kwartier",74.8,75,NA
"Valeriusbuurt Oost",78.8,80.6,71.2
"Valeriusbuurt West",75.7,78.5,63.6
"Valkenburg",71.3,75.6,59.4
"Van Brakelkwartier",60,63.7,38.1
"Van Loonbuurt",77,79.1,68.6
"Van Tuyllbuurt",72.7,76,53.8
"Van der Helstpleinbuurt",71.2,73.3,53.3
"Van der Kunbuurt",56.9,60.3,38.5
"Van der Pekbuurt",56.8,59.1,41.3
"Veluwebuurt",66.8,70.8,51.9
"Venserpolder Oost",59.3,62,40.9
"Venserpolder West",56.6,60.1,38.9
"Vervoerscentrum",NA,NA,NA
"Vivaldi",73.3,73.4,70
"Vliegenbos",79.4,80.9,68.7
"Vogelbuurt Noord",61.5,65.5,39.9
"Vogelbuurt Zuid",58.9,62,41.8
"Vogeltjeswei",58.3,63.7,41.2
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",72,74.9,60.4
"Vondelparkbuurt Oost",76.2,77.2,71.9
"Vondelparkbuurt West",74.6,77.7,59.1
"WG-terrein",69.2,72.4,58.2
